ret_1s_bps,symbol,day
-1.2013679727773674,btcusdt,2025-12-15
0.19269537185451213,btcusdt,2025-12-15
0.8387754558425442,btcusdt,2025-12-15
-0.38535099525338623,btcusdt,2025-12-15
-0.17001434354346756,btcusdt,2025-12-15
2.4709171352998993,btcusdt,2025-12-15
0.5779157976681937,btcusdt,2025-12-15
0.41924801636117337,btcusdt,2025-12-15
0.0,btcusdt,2025-12-15
0.6458414889709552,btcusdt,2025-12-15
-0.4985121112943691,btcusdt,2025-12-15
-0.20394693980518852,btcusdt,2025-12-15
-0.8951187137029581,btcusdt,2025-12-15
-2.1190149866479047,btcusdt,2025-12-15
0.0,btcusdt,2025-12-15
-0.32868694665233456,btcusdt,2025-12-15
-0.23802250899374044,btcusdt,2025-12-15
-1.5301811224388562,btcusdt,2025-12-15
0.7482030373640036,btcusdt,2025-12-15
